ResourceTypes
84codes.CloudAMQP
CloudSimple.PrivateCloudIaaS
Conexlink.MyCloudIT
Crypteron.DataSecurity
Mailjet.Email
Microsoft.Attestation
Microsoft.AzureStack
Microsoft.Batch
Microsoft.BatchAI
Microsoft.BingMaps
Microsoft.BizTalkServices
Microsoft.Blockchain
Microsoft.Blueprint
Microsoft.Cdn
Microsoft.ClassicCompute
Microsoft.ClassicInfrastructureMigrate
Microsoft.ClassicNetwork
Microsoft.ClassicStorage
Microsoft.ClassicSubscription
Microsoft.CognitiveServices
Microsoft.Consumption
Microsoft.ContainerInstance
Microsoft.ContainerRegistry
Microsoft.ContainerService
Microsoft.ContentModerator
Microsoft.CustomerLockbox
Microsoft.CustomProviders
Microsoft.DataBox
Microsoft.DataBoxEdge
Microsoft.Databricks
Microsoft.DataCatalog
Microsoft.DataFactory
Microsoft.DataLakeStore
Microsoft.DataMigration
Microsoft.DataShare
Microsoft.DBforMariaDB
Microsoft.DBforMySQL
Microsoft.DBforPostgreSQL
Microsoft.Devices
Microsoft.DevSpaces
Microsoft.DevTestLab
Microsoft.DocumentDB
Microsoft.EnterpriseKnowledgeGraph
Microsoft.EventGrid
Microsoft.EventHub
Microsoft.GuestConfiguration
Microsoft.HardwareSecurityModules
Microsoft.HDInsight
Microsoft.HealthcareApis
Microsoft.IoTCentral
Microsoft.IoTSpaces
Microsoft.LabServices
Microsoft.MachineLearning
Microsoft.MachineLearningCompute
Microsoft.MachineLearningServices
Microsoft.Maps
Microsoft.Media
Microsoft.MixedReality
Microsoft.PowerBI
Microsoft.PowerBIDedicated
Microsoft.Relay
Microsoft.ServiceBus
Microsoft.ServiceFabric
Microsoft.ServiceFabricMesh
Microsoft.WindowsIoT
Paraleap.CloudMonix
Pokitdok.Platform
RavenHq.Db
Raygun.CrashReporting
Sendgrid.Email
Sparkpost.Basic
stackify.retrace
TrendMicro.DeepSecurity
U2uconsult.TheIdentityHub
