ResourceTypes
Microsoft.AAD
Microsoft.Addons
Microsoft.ADHybridHealthService
Microsoft.Advisor
Microsoft.AlertsMagement
Microsoft.AlysisServices
Microsoft.ApiMagement
Microsoft.AppConfiguration
Microsoft.Authorization
Microsoft.Automation
Microsoft.AzureActiveDirectory
Microsoft.Billing
Microsoft.BotService
Microsoft.Cache
Microsoft.Capacity
Microsoft.CertificateRegistration
Microsoft.Commerce
Microsoft.Compute
Microsoft.CostMagement
Microsoft.CustomerInsights
Microsoft.DeploymentMager
Microsoft.DomainRegistration
Microsoft.Features
Microsoft.HybridCompute
Microsoft.ImportExport
microsoft.insights
Microsoft.Intune
Microsoft.KeyVault
Microsoft.Kusto
Microsoft.LocationBasedServices
Microsoft.LogAlytics
Microsoft.Logic
Microsoft.MagedIdentity
Microsoft.Magement
Microsoft.Marketplace
Microsoft.MarketplaceApps
Microsoft.MarketplaceOrdering
Microsoft.Migrate
Microsoft.NetApp
Microsoft.Network
Microsoft.NotificationHubs
Microsoft.OffAzure
Microsoft.OperatiolInsights
Microsoft.OperationsMagement
Microsoft.Peering
Microsoft.PolicyInsights
Microsoft.Portal
Microsoft.RecoveryServices
Microsoft.ResourceHealth
Microsoft.Resources
Microsoft.SaaS
Microsoft.Scheduler
Microsoft.Search
Microsoft.Security
Microsoft.SecurityInsights
Microsoft.Solutions
Microsoft.Sql
Microsoft.SqlVirtualMachine
Microsoft.Storage
Microsoft.StorageSync
Microsoft.StorSimple
Microsoft.Subscription
microsoft.support
Microsoft.TimeSeriesInsights
microsoft.visualstudio
Microsoft.VMwareCloudSimple
Microsoft.Web
Microsoft.WindowsDefenderATP
Microsoft.WorkloadMonitor
Myget.PackageMagement
