ResourceTypes
Microsoft.AAD
Microsoft.Addons
Microsoft.ADHybridHealthService
Microsoft.Advisor
Microsoft.AppConfiguration
Microsoft.Authorization
Microsoft.Automation
Microsoft.AzureActiveDirectory
Microsoft.Billing
Microsoft.Cache
Microsoft.Capacity
Microsoft.CertificateRegistration
Microsoft.Commerce
Microsoft.Compute
Microsoft.CustomerInsights
Microsoft.DomainRegistration
Microsoft.Features
Microsoft.HybridCompute
Microsoft.ImportExport
microsoft.insights
Microsoft.KeyVault
Microsoft.Kusto
Microsoft.Logic
Microsoft.Marketplace
Microsoft.MarketplaceApps
Microsoft.MarketplaceOrdering
Microsoft.Migrate
Microsoft.NetApp
Microsoft.Network
Microsoft.NotificationHubs
Microsoft.OffAzure
Microsoft.Peering
Microsoft.PolicyInsights
Microsoft.Portal
Microsoft.RecoveryServices
Microsoft.ResourceHealth
Microsoft.Resources
Microsoft.SaaS
Microsoft.Scheduler
Microsoft.Search
Microsoft.Security
Microsoft.SecurityInsights
Microsoft.Solutions
Microsoft.Sql
Microsoft.SqlVirtualMachine
Microsoft.Storage
Microsoft.StorageSync
Microsoft.StorSimple
Microsoft.Subscription
microsoft.support
Microsoft.TimeSeriesInsights
microsoft.visualstudio
Microsoft.VMwareCloudSimple
Microsoft.Web
Microsoft.WorkloadMonitor
